----------------------------------------------------------------------------------------------------------
Benchmark                                                                Time             CPU   Iterations
BM_Sort_string_SingleElement_1024                                     6.26 ns         5.87 ns     90439680
BM_Sort_string_SingleElement_16384                                    5.75 ns         6.06 ns    195821568
BM_Sort_string_SingleElement_262144                                   5.94 ns         4.97 ns    106954752
BM_Sort_string_PipeOrgan_1                                            1.56 ns         1.65 ns    435159040
BM_Sort_string_PipeOrgan_4                                            24.9 ns         22.6 ns     26214400
BM_Sort_string_PipeOrgan_16                                           36.5 ns         36.2 ns     14680064
BM_Sort_string_PipeOrgan_64                                           54.0 ns         52.5 ns     13107200
BM_Sort_string_PipeOrgan_256                                          71.2 ns         68.3 ns     10747904
BM_Sort_string_PipeOrgan_1024                                         88.7 ns         89.4 ns      8388608
BM_Sort_string_PipeOrgan_16384                                         204 ns          197 ns      2621440
BM_Sort_string_PipeOrgan_262144                                        716 ns          730 ns      1048576
BM_Sort_string_QuickSortAdversary_1                                   1.55 ns         1.57 ns    487325696
BM_Sort_string_QuickSortAdversary_4                                   32.1 ns         29.1 ns     23592960
BM_Sort_string_QuickSortAdversary_16                                  57.7 ns         61.1 ns     10747904
BM_Sort_string_QuickSortAdversary_64                                  86.6 ns         91.4 ns      7864320
BM_Sort_string_QuickSortAdversary_256                                  109 ns          104 ns      6029312
BM_Sort_string_QuickSortAdversary_1024                                 133 ns          131 ns      5242880
BM_Sort_string_QuickSortAdversary_16384                                208 ns          209 ns      2621440
BM_Sort_string_QuickSortAdversary_262144                               331 ns          323 ns      3145728
BM_Sort_float_Random_1                                                1.12 ns         1.15 ns    838860800
BM_Sort_float_Random_4                                                6.38 ns         6.52 ns    117440512
BM_Sort_float_Random_16                                               16.4 ns         16.9 ns     45350912
BM_Sort_float_Random_64                                               24.6 ns         24.5 ns     23592960
BM_Sort_float_Random_256                                              34.8 ns         35.1 ns     23592960
BM_Sort_float_Random_1024                                             43.3 ns         43.8 ns     16777216
BM_Sort_float_Random_16384                                            64.3 ns         64.9 ns     11796480
BM_Sort_float_Random_262144                                           76.6 ns         76.6 ns      9175040
BM_Sort_float_Ascending_1                                             1.09 ns         1.32 ns    734003200
BM_Sort_float_Ascending_4                                             2.58 ns         2.83 ns    391643136
BM_Sort_float_Ascending_16                                            3.99 ns         4.19 ns    167772160
BM_Sort_float_Ascending_64                                            5.87 ns         5.84 ns    106954752
BM_Sort_float_Ascending_256                                           9.83 ns         9.79 ns     73400320
BM_Sort_float_Ascending_1024                                          14.4 ns         14.7 ns     49020928
BM_Sort_float_Ascending_16384                                         37.6 ns         37.4 ns     19660800
BM_Sort_float_Ascending_262144                                         131 ns          131 ns      5505024
BM_Sort_float_Descending_1                                            1.29 ns         1.26 ns    435159040
BM_Sort_float_Descending_4                                            2.35 ns         2.21 ns    262144000
BM_Sort_float_Descending_16                                           4.10 ns         4.28 ns    167772160
BM_Sort_float_Descending_64                                           6.01 ns         5.75 ns    130547712
BM_Sort_float_Descending_256                                          8.75 ns         8.75 ns     83886080
BM_Sort_float_Descending_1024                                         12.7 ns         12.3 ns     56098816
BM_Sort_float_Descending_16384                                        30.1 ns         30.5 ns     23592960
BM_Sort_float_Descending_262144                                       91.1 ns         91.5 ns      7340032
BM_Sort_float_SingleElement_1                                         1.14 ns         1.22 ns    653262848
BM_Sort_float_SingleElement_4                                         1.81 ns         1.75 ns    438566912
BM_Sort_float_SingleElement_16                                        1.37 ns         1.37 ns    526385152
BM_Sort_float_SingleElement_64                                       0.864 ns        0.846 ns    978845696
BM_Sort_float_SingleElement_256                                      0.750 ns        0.778 ns    903610368
BM_Sort_float_SingleElement_1024                                     0.691 ns        0.703 ns   1000079360
BM_Sort_float_SingleElement_16384                                    0.678 ns        0.750 ns    978845696
BM_Sort_float_SingleElement_262144                                   0.662 ns        0.640 ns    903610368
BM_Sort_float_PipeOrgan_1                                             1.04 ns         1.10 ns    510656512
BM_Sort_float_PipeOrgan_4                                             2.21 ns         2.03 ns    262144000
BM_Sort_float_PipeOrgan_16                                            3.54 ns         3.57 ns    293601280
BM_Sort_float_PipeOrgan_64                                            5.71 ns         5.86 ns    130547712
BM_Sort_float_PipeOrgan_256                                           7.66 ns         7.81 ns     98041856
BM_Sort_float_PipeOrgan_1024                                          11.3 ns         11.1 ns     61865984
BM_Sort_float_PipeOrgan_16384                                         25.3 ns         25.0 ns     29360128
BM_Sort_float_PipeOrgan_262144                                        78.2 ns         78.4 ns      9961472
BM_Sort_float_QuickSortAdversary_1                                    1.03 ns        0.873 ns    734003200
BM_Sort_float_QuickSortAdversary_4                                    2.06 ns         1.97 ns    404750336
BM_Sort_float_QuickSortAdversary_16                                   3.81 ns         3.91 ns    167772160
BM_Sort_float_QuickSortAdversary_64                                   6.14 ns         6.28 ns    146800640
BM_Sort_float_QuickSortAdversary_256                                  8.52 ns         8.75 ns     83886080
BM_Sort_float_QuickSortAdversary_1024                                 12.4 ns         12.6 ns     53477376
BM_Sort_float_QuickSortAdversary_16384                                40.8 ns         40.0 ns     16777216
BM_Sort_float_QuickSortAdversary_262144                                123 ns          122 ns      5767168
